run,scenario,round,ttft_s,prefill_tps,decode_tps,total_s,completion_tokens,accept_rate
ninfer-mtp,longctx_32k_longgen,3,11.6721,2796.3,144.8,18.745,1024,0.5760
ninfer-mtp,longctx_32k_longgen,4,11.6914,2791.7,142.9,18.857,1024,0.5669
ninfer-mtp,longctx_128k_prefill,0,63.1513,2067.4,141.0,64.059,128,0.6800
ninfer-mtp,longctx_128k_prefill,1,63.1022,2069.0,134.8,64.052,128,0.6587
ninfer-mtp,longctx_128k_prefill,2,63.1870,2066.2,148.2,64.051,128,0.7311
ninfer-mtp,longctx_128k_prefill,3,63.1003,2069.1,143.9,63.990,128,0.7288
ninfer-mtp,longctx_128k_prefill,4,63.1314,2068.1,147.5,63.999,128,0.7632
ninfer-mtp,conc2_short,0,0.2512,648.8,127.3,4.274,512.0,
ninfer-mtp,conc2_short,1,0.2446,666.5,119.6,4.538,512.0,
ninfer-mtp,conc2_short,2,0.2422,673.1,110.7,4.876,512.0,
ninfer-mtp,conc2_short,3,0.2425,672.2,116.3,4.645,512.0,
ninfer-mtp,conc2_short,4,0.2397,680.1,110.8,4.860,512.0,
ninfer-mtp,conc2_long_distinct,0,17.8290,1830.7,76.8,25.721,256.0,
ninfer-mtp,conc2_long_distinct,1,17.8281,1830.8,72.1,25.721,256.0,
ninfer-mtp,conc2_long_distinct,2,17.8313,1830.4,63.7,25.841,256.0,
ninfer-mtp,conc2_long_distinct,3,17.8273,1830.8,66.3,25.889,256.0,
ninfer-mtp,conc2_long_distinct,4,17.8541,1828.1,61.8,25.994,256.0,
ninfer-nvfp4-native,short_coding_gen,0,0.0767,2150.8,141.2,3.702,512,0.5107
ninfer-nvfp4-native,short_coding_gen,1,0.1053,1567.2,154.9,3.412,512,0.6048
ninfer-nvfp4-native,short_coding_gen,2,0.0877,1881.4,154.4,3.405,512,0.5895
ninfer-nvfp4-native,short_coding_gen,3,0.0831,1985.3,152.2,3.447,512,0.5835
ninfer-nvfp4-native,short_coding_gen,4,0.0868,1901.2,142.5,3.680,512,0.5235
ninfer-nvfp4-native,longctx_32k_prefill,0,4.6897,6959.7,154.8,6.344,256,0.6667
ninfer-nvfp4-native,longctx_32k_prefill,1,4.6948,6952.2,133.3,6.615,256,0.5270
ninfer-nvfp4-native,longctx_32k_prefill,2,4.6867,6964.2,127.0,6.703,256,0.4984
ninfer-nvfp4-native,longctx_32k_prefill,3,4.7172,6919.1,137.8,6.574,256,0.5634
ninfer-nvfp4-native,longctx_32k_prefill,4,4.7134,6924.7,154.2,6.374,256,0.6746
ninfer-nvfp4-native,longctx_32k_longgen,0,4.6837,6968.7,139.9,12.001,1024,0.5775
ninfer-nvfp4-native,longctx_32k_longgen,1,4.7228,6911.0,129.3,12.645,1024,0.5037
ninfer-nvfp4-native,longctx_32k_longgen,2,4.6959,6950.6,137.0,12.170,1024,0.5575
ninfer-nvfp4-native,longctx_32k_longgen,3,4.7256,6906.9,149.2,11.590,1024,0.6311
ninfer-nvfp4-native,longctx_32k_longgen,4,4.7677,6845.8,139.1,12.127,1024,0.5712
ninfer-nvfp4-native,longctx_128k_prefill,0,35.0279,3727.3,139.1,35.948,128,0.7107
ninfer-nvfp4-native,longctx_128k_prefill,1,34.9625,3734.3,138.4,35.888,128,0.6967
ninfer-nvfp4-native,longctx_128k_prefill,2,34.9893,3731.4,134.9,35.938,128,0.6667
ninfer-nvfp4-native,longctx_128k_prefill,3,34.9361,3737.1,130.8,35.915,128,0.6434
ninfer-nvfp4-native,longctx_128k_prefill,4,34.9179,3739.0,129.8,35.904,128,0.6535
ninfer-nvfp4-native,conc2_short,0,0.1582,1043.3,142.4,3.753,512.0,
ninfer-nvfp4-native,conc2_short,1,0.1402,1176.8,137.1,3.878,512.0,
ninfer-nvfp4-native,conc2_short,2,0.1445,1141.8,135.2,3.935,512.0,
ninfer-nvfp4-native,conc2_short,3,0.1476,1117.8,145.5,3.685,512.0,
ninfer-nvfp4-native,conc2_short,4,0.1441,1145.0,139.9,3.825,512.0,
ninfer-nvfp4-native,conc2_long_distinct,0,7.3569,4436.5,94.4,11.339,256.0,
ninfer-nvfp4-native,conc2_long_distinct,1,7.3705,4428.3,86.2,11.684,256.0,
ninfer-nvfp4-native,conc2_long_distinct,2,7.3789,4423.3,92.3,11.542,256.0,
ninfer-nvfp4-native,conc2_long_distinct,3,7.3758,4425.2,88.0,11.413,256.0,
ninfer-nvfp4-native,conc2_long_distinct,4,7.4111,4404.1,89.1,11.679,256.0,
ninfer-mtp-native,short_coding_gen,0,0.1230,1357.8,198.4,2.703,512,0.7033
ninfer-mtp-native,short_coding_gen,1,0.1543,1082.3,172.3,3.127,512,0.5661
ninfer-mtp-native,short_coding_gen,2,0.1574,1061.0,171.3,3.146,512,0.5585
ninfer-mtp-native,short_coding_gen,3,0.1522,1096.9,160.2,3.349,512,0.5025
ninfer-mtp-native,short_coding_gen,4,0.1315,1270.2,172.8,3.095,512,0.5689
ninfer-mtp-native,longctx_32k_prefill,0,10.9870,2970.7,150.9,12.683,256,0.5185
ninfer-mtp-native,longctx_32k_prefill,1,11.1585,2925.0,143.1,12.947,256,0.5395
ninfer-mtp-native,longctx_32k_prefill,2,11.4957,2839.2,162.1,13.075,256,0.6157
ninfer-mtp-native,longctx_32k_prefill,3,11.4950,2839.4,154.9,13.148,256,0.5771
ninfer-mtp-native,longctx_32k_prefill,4,11.4991,2838.4,158.2,13.117,256,0.5949
ninfer-mtp-native,longctx_32k_longgen,0,11.5097,2835.8,145.2,18.563,1024,0.5188
ninfer-mtp-native,longctx_32k_longgen,1,11.5209,2833.0,150.7,18.314,1024,0.5510
ninfer-mtp-native,longctx_32k_longgen,2,11.5388,2828.6,153.2,18.225,1024,0.5655
ninfer-mtp-native,longctx_32k_longgen,3,11.5474,2826.5,149.9,18.380,1024,0.5474
ninfer-mtp-native,longctx_32k_longgen,4,11.9145,2739.4,146.7,18.893,1024,0.5632
ninfer-mtp-native,longctx_128k_prefill,0,63.3076,2062.3,148.8,64.168,128,0.7049
ninfer-mtp-native,longctx_128k_prefill,1,63.4949,2056.2,146.7,64.367,128,0.6967
ninfer-mtp-native,longctx_128k_prefill,2,63.1947,2066.0,150.2,64.047,128,0.7107
ninfer-mtp-native,longctx_128k_prefill,3,63.0702,2070.1,146.5,63.944,128,0.6800
ninfer-mtp-native,longctx_128k_prefill,4,63.1969,2065.9,158.2,64.006,128,0.7857
ninfer-mtp-native,conc2_short,0,0.2459,679.0,126.0,4.331,512.0,
ninfer-mtp-native,conc2_short,1,0.2352,710.0,105.1,5.109,512.0,
ninfer-mtp-native,conc2_short,2,0.2579,647.6,125.7,4.330,512.0,
ninfer-mtp-native,conc2_short,3,0.2371,704.4,110.9,4.860,512.0,
ninfer-mtp-native,conc2_short,4,0.2360,707.5,105.4,5.096,512.0,
ninfer-mtp-native,conc2_long_distinct,0,18.1105,1802.2,66.6,26.190,256.0,
ninfer-mtp-native,conc2_long_distinct,1,18.0879,1804.5,71.8,26.088,256.0,
ninfer-mtp-native,conc2_long_distinct,2,18.2078,1792.6,72.9,26.190,256.0,
ninfer-mtp-native,conc2_long_distinct,3,18.2125,1792.1,66.2,26.392,256.0,
ninfer-mtp-native,conc2_long_distinct,4,18.2151,1791.9,68.0,26.327,256.0,
